City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
285,Kloulklubed,PW,73.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
286,Mae Sot,TH,76.42,overcast clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
292,Alassio,IT,85.3,clear sky,44.0039,8.1671,Hotel Toscana
298,Kisangani,CD,72.41,scattered clouds,0.5167,25.2,Grand Ramela Hotel
299,Bataysk,RU,79.88,scattered clouds,47.1398,39.7518,Gostinichnyy Kompleks Aleksandr
300,Winneba,GH,73.4,overcast clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
301,Rancho Palos Verdes,US,89.98,broken clouds,33.7445,-118.387,Terranea Resort
302,Sorong,ID,77.95,light rain,-0.8833,131.25,Waigo Splash Hotel
305,Lucapa,AO,72.28,clear sky,-8.4192,20.7447,Lírio Mendes
309,Santa Rosa,PH,77.09,heavy intensity rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
313,Eureka,US,75.2,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
315,Bambous Virieux,MU,70.05,few clouds,-20.3428,57.7575,Casa Tia Villa
317,Bima,ID,71.46,few clouds,-8.4667,118.7167,Lambitu Hotel
319,Argostolion,GR,84.27,clear sky,38.1811,20.489,Princess Hotel
320,Kaifeng,CN,81.64,clear sky,34.7911,114.3483,Pullman Kaifeng Jianye
321,Guerrero Negro,MX,80.31,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
323,Albenga,IT,85.42,clear sky,44.0529,8.216,Albergo Marisa Snc dei Fratelli Ancona
326,Hambantota,LK,78.96,overcast clouds,6.1241,81.1185,Bungalow 63
330,Saint-Francois,FR,78.24,clear sky,46.4154,3.9054,Manoir Du Bonheur
333,Salalah,OM,78.89,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
336,Sao Joao Da Barra,BR,77.09,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
337,Angoche,MZ,71.73,clear sky,-16.2325,39.9086,Guest House HESADA
342,Hamilton,US,84.52,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
343,Fairbanks,US,73.49,few clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
344,Urumqi,CN,77.95,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
345,Faanui,PF,77.4,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
347,Ambon,ID,78.24,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
351,Le Mars,US,87.31,clear sky,42.7942,-96.1656,"Holiday Inn Express & Suites Le Mars, an IHG Hotel"
353,Thai Nguyen,VN,76.78,overcast clouds,21.5928,105.8442,East Asia Hotel 2
358,Sola,VU,81.19,few clouds,-13.8833,167.55,Leumerus Bungalows
359,Mpulungu,ZM,71.78,clear sky,-8.7623,31.1141,Chela moche guest house
362,Cabedelo,BR,79.47,few clouds,-6.9811,-34.8339,Pousada Camboinha
363,Nantucket,US,84.31,mist,41.2835,-70.0995,Jared Coffin House
364,Exaplatanos,GR,77.22,clear sky,40.9772,22.125,Deppy's House κοντά στα ΛΟΥΤΡΑ ΠΟΖΑΡ
367,Nabire,ID,75.06,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
369,Sao Jose Da Coroa Grande,BR,75.2,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
371,Sakaiminato,JP,78.78,broken clouds,35.55,133.2333,Italian pasley
373,Talara,PE,79.56,clear sky,-4.5772,-81.2719,Hostal Oro Negro
374,Odweyne,SO,72.91,few clouds,9.4092,45.064,Eng Hiirey House
375,Bubaque,GW,79.9,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
376,Kombai,IN,73.09,overcast clouds,9.8333,77.3167,JB Residency
377,Yershov,RU,75.42,scattered clouds,51.3513,48.2766,Gudok
378,Heihe,CN,70.38,light rain,50.2441,127.4902,Hotel Strannik
381,Fortuna,US,74.93,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
382,Torbay,CA,79.75,broken clouds,47.6666,-52.7314,Gallows Cove
384,Deep River,CA,85.95,clear sky,46.1001,-77.4995,Deep River Motel
386,Sao Francisco,BR,79.0,clear sky,-15.9486,-44.8644,Pousada Peixe Vivo
388,Artyom,AZ,78.94,clear sky,40.4723,50.333,Pir hos
389,Alamosa,US,76.98,few clouds,37.4695,-105.87,Best Western Alamosa Inn
391,Acarau,BR,78.48,few clouds,-2.8856,-40.12,castelo pizzaria
393,Svetlyy,RU,71.96,broken clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
394,Iralaya,HN,81.43,overcast clouds,15.0,-83.2333,Iglesia morava renovada
401,Pacific Grove,US,83.34,clear sky,36.6177,-121.9166,Lovers Point Inn
404,Maracacume,BR,75.61,moderate rain,-2.0428,-45.9592,Hotel Ramos
406,Tafresh,IR,78.69,clear sky,34.692,50.013,هتل یاس سفید
407,Katsuura,JP,73.42,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
409,Hauzenberg,DE,73.29,clear sky,48.65,13.6333,Naturhotel Gidibauer Hof
410,Nouadhibou,MR,75.18,overcast clouds,20.931,-17.0347,El Medina
416,Macau,MO,80.33,light intensity shower rain,22.2006,113.5461,Grand Emperor Hotel
419,Gizo,SB,82.11,clear sky,-8.103,156.8419,Imagination Island
421,Bulungu,CD,87.48,overcast clouds,-4.55,18.6,Maison MC Michel
424,Shenjiamen,CN,83.19,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
427,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
430,Mbanza-Ngungu,CD,74.32,clear sky,-5.25,14.8667,Hotel Full Business
433,Banikoara,BJ,73.72,light rain,11.2985,2.4386,Hôtel de l'UCom CVPC
437,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
439,Mogadishu,SO,76.01,light rain,2.0371,45.3438,Hotel Juba
440,Nikki,BJ,70.97,broken clouds,9.9401,3.2108,Monnon
442,Arys,KZ,76.01,broken clouds,42.4252,68.795,Gostinitsa
443,Laem Sing,TH,83.14,moderate rain,12.4816,102.0738,Laemsing Whitehouse Resort
444,Sur,OM,84.92,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
445,Buala,SB,81.59,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
446,Rong Kwang,TH,73.49,overcast clouds,18.339,100.3174,Rong Kwang Hotel
447,Badin,PK,84.96,scattered clouds,24.656,68.8384,Muhammad Bin Qasim Boys Hostel Badin campus
451,Havelock,US,89.58,clear sky,34.8791,-76.9013,Sherwood Motel
452,Kalaleh,IR,80.96,clear sky,37.3807,55.4916,کلاله
453,Mweka,CD,76.46,clear sky,-4.85,21.5667,Guest House Boshab
454,Gushikawa,JP,81.63,clear sky,26.3544,127.8686,Kirari Guest House
