City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Biak,ID,-0.9131,122.8766,73.67,76,55,6.04,broken clouds
144,Chuy,UY,-33.6971,-53.4616,52.99,95,100,15.86,overcast clouds
145,Miyako,JP,39.6367,141.9525,66.33,90,98,3.67,overcast clouds
146,Grand-Santi,GF,4.25,-54.3833,82.09,67,91,2.19,overcast clouds
147,Praia Da Vitoria,PT,38.7333,-27.0667,77.76,88,75,3.53,thunderstorm with light rain
148,Port Hedland,AU,-20.3167,118.5667,55.45,76,4,1.14,clear sky
149,San Cristobal,VE,7.7669,-72.225,82.58,50,51,6.6,broken clouds
150,Ancud,CL,-41.8697,-73.8203,44.22,64,100,4.97,overcast clouds
151,Beloha,MG,-25.1667,45.05,69.89,63,76,5.08,broken clouds
152,Grand Gaube,MU,-20.0064,57.6608,70.2,74,26,8.01,light rain
153,Muros,ES,42.7762,-9.0603,71.69,74,99,20.11,overcast clouds
154,Hami,CN,42.8,93.45,88.39,18,86,12.28,overcast clouds
155,Port Elizabeth,ZA,-33.918,25.5701,57.61,83,12,4.23,few clouds
156,Saskylakh,RU,71.9167,114.0833,53.33,71,100,4.92,overcast clouds
157,Hasaki,JP,35.7333,140.8333,72.28,91,100,16.6,overcast clouds
158,Coruripe,BR,-10.1256,-36.1756,73.81,78,15,9.35,few clouds
159,Chiredzi,ZW,-21.05,31.6667,65.8,51,0,4.74,clear sky
160,Umm Kaddadah,SD,13.6017,26.6876,89.02,40,61,12.33,broken clouds
161,Ust-Omchug,RU,61.15,149.6333,61.25,75,100,5.91,overcast clouds
162,Chirongui,YT,-12.9319,45.1483,75.13,73,2,8.5,clear sky
163,Tuktoyaktuk,CA,69.4541,-133.0374,66.2,45,75,6.91,broken clouds
164,Jieshi,CN,22.8134,115.8257,81.07,84,100,11.16,overcast clouds
165,Pisco,PE,-13.7,-76.2167,66.02,77,20,10.36,few clouds
166,Kodiak,US,57.79,-152.4072,60.31,72,20,5.75,few clouds
167,Rocha,UY,-34.4833,-54.3333,50.5,90,100,14.94,overcast clouds
168,Kieta,PG,-6.2167,155.6333,80.49,79,97,3.38,light rain
169,Lavrentiya,RU,65.5833,-171.0,49.84,89,97,8.39,light rain
170,Srednekolymsk,RU,67.45,153.6833,50.76,54,20,9.08,few clouds
171,Vung Tau,VN,10.346,107.0843,78.06,81,100,15.41,light rain
172,Namatanai,PG,-3.6667,152.4333,79.41,79,89,7.38,overcast clouds
173,Bonthe,SL,7.5264,-12.505,76.73,86,98,9.37,light rain
174,Waingapu,ID,-9.6567,120.2641,69.91,78,5,4.41,clear sky
175,Batsfjord,NO,70.6345,29.7185,58.78,77,97,4.61,overcast clouds
176,Masindi,UG,1.6744,31.715,67.1,69,49,3.74,scattered clouds
177,Tukrah,LY,32.5341,20.5791,79.81,77,0,6.24,clear sky
178,Jamestown,US,42.097,-79.2353,85.17,59,0,5.75,clear sky
179,Ushtobe,KZ,45.2514,77.9838,66.7,65,39,2.35,scattered clouds
180,Saint-Pierre,RE,-21.3393,55.4781,66.9,81,0,6.91,clear sky
181,Norman Wells,CA,65.282,-126.8329,73.44,40,40,6.91,scattered clouds
182,Samarai,PG,-10.6167,150.6667,79.43,85,45,11.9,scattered clouds
183,Port Lincoln,AU,-34.7333,135.8667,52.57,80,55,14.63,broken clouds
184,Mount Isa,AU,-20.7333,139.5,71.37,60,79,5.75,broken clouds
185,Cascais,PT,38.6979,-9.4215,71.46,72,40,18.01,scattered clouds
186,Shenzhen,CN,22.5455,114.0683,78.84,95,100,13.98,light rain
187,Awjilah,LY,29.1081,21.2869,84.52,42,0,13.98,clear sky
188,Pilibanga,IN,29.4916,74.079,86.81,68,96,6.22,overcast clouds
189,Huarmey,PE,-10.0681,-78.1522,68.23,70,47,12.44,scattered clouds
190,Fort Nelson,CA,58.8053,-122.7002,60.39,72,75,9.22,broken clouds
191,Yulara,AU,-25.2406,130.9889,48.07,46,0,8.75,clear sky
192,Khorramshahr,IR,30.4397,48.1664,105.76,13,1,9.22,clear sky
193,Ketchikan,US,55.3422,-131.6461,64.87,63,0,9.22,clear sky
194,Sitka,US,57.0531,-135.33,60.69,77,100,5.75,overcast clouds
195,Aklavik,CA,68.2191,-135.0107,73.4,56,20,6.91,haze
196,Saurimo,AO,-9.6608,20.3916,68.65,30,6,5.3,clear sky
197,Belmonte,BR,-15.8631,-38.8828,71.35,81,21,7.07,few clouds
198,Charters Towers,AU,-20.1,146.2667,60.87,96,23,6.87,few clouds
199,San Quintin,MX,30.4833,-115.95,75.72,72,25,17.22,scattered clouds
200,Dingle,PH,10.9995,122.6711,75.65,92,100,1.66,moderate rain
201,Veraval,IN,20.9,70.3667,82.11,84,100,8.41,overcast clouds
